frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
239,7.9667,0.91204,0.60417,1,0,0.01386,1.0,15.588,0.268,12.0,1,0,0
240,8.0,0.91667,0.625,1,0,0.01931,1.0,15.303,0.376,12.0,1,0,0
241,8.0333,0.91667,0.625,1,0,0.01608,1.0,15.326,0.325,12.0,1,0,0
242,8.0667,0.91667,0.625,1,0,0.01336,1.0,15.364,0.294,12.0,1,0,0
243,8.1,0.91667,0.625,1,0,0.01355,1.0,15.408,0.289,12.0,1,0,0
244,8.1333,0.91667,0.625,1,0,0.01227,1.0,15.377,0.272,12.0,1,0,0
245,8.1667,0.9213,0.64583,1,0,0.01262,1.0,15.401,0.272,12.0,1,0,0
246,8.2,0.91667,0.625,1,0,0.01554,1.0,15.396,0.283,12.0,1,0,0
247,8.2333,0.91667,0.625,1,0,0.0155,1.0,15.45,0.278,12.0,1,0,0
248,8.2667,0.91667,0.625,1,0,0.01663,1.0,15.408,0.277,12.0,1,0,0
249,8.3,0.91667,0.625,1,0,0.01246,1.0,15.404,0.277,12.0,1,0,0
250,8.3333,0.91667,0.625,1,0,0.01608,1.0,15.362,0.285,12.0,1,0,0
251,8.3667,0.91667,0.625,1,0,0.0185,1.0,15.453,0.287,12.0,1,0,0
252,8.4,0.91204,0.60417,1,0,0.02262,1.0,15.345,0.365,12.0,1,0,0
253,8.4333,0.91204,0.60417,1,0,0.02301,1.0,15.411,0.311,12.0,1,0,0
254,8.4667,0.91204,0.60417,1,0,0.0206,1.0,15.396,0.29,12.0,1,0,0
255,8.5,0.91204,0.60417,1,0,0.02087,1.0,15.412,0.285,12.0,1,0,0
256,8.5333,0.91204,0.60417,1,0,0.02157,1.0,15.419,0.284,12.0,1,0,0
257,8.5667,0.91204,0.60417,1,0,0.01951,1.0,15.465,0.274,12.0,1,0,0
258,8.6,0.91204,0.60417,1,0,0.01733,1.0,15.464,0.277,12.0,1,0,0
259,8.6333,0.91204,0.60417,1,0,0.01698,1.0,15.457,0.295,12.0,1,0,0
260,8.6667,0.91204,0.60417,1,0,0.0155,1.0,15.434,0.29,12.0,1,0,0
261,8.7,0.91204,0.60417,1,0,0.01593,1.0,15.45,0.283,12.0,1,0,0
262,8.7333,0.91204,0.60417,1,0,0.01624,1.0,15.433,0.279,12.0,1,0,0
263,8.7667,0.91204,0.60417,1,0,0.01604,1.0,15.464,0.283,12.0,1,0,0
264,8.8,0.91204,0.60417,1,0,0.01671,1.0,15.544,0.356,12.0,1,0,0
265,8.8333,0.91204,0.60417,1,0,0.01842,1.0,15.652,0.3,12.0,1,0,0
266,8.8667,0.91204,0.60417,1,0,0.02138,1.0,15.555,0.285,12.0,1,0,0
267,8.9,0.91204,0.60417,1,0,0.02212,1.0,15.594,0.273,12.0,1,0,0
268,8.9333,0.91204,0.60417,1,0,0.02262,1.0,15.558,0.267,12.0,1,0,0
269,8.9667,0.91204,0.60417,1,0,0.02251,1.0,15.594,0.267,12.0,1,0,0
270,9.0,0.91204,0.60417,1,0,0.0206,1.0,15.536,0.268,12.0,1,0,0
271,9.0333,0.91204,0.60417,1,0,0.02064,1.0,15.552,0.272,12.0,1,0,0
272,9.0667,0.91204,0.60417,1,0,0.02025,1.0,15.473,0.267,12.0,1,0,0
273,9.1,0.91667,0.625,1,0,0.01955,1.0,15.501,0.273,12.0,1,0,0
274,9.1333,0.91667,0.625,1,0,0.0155,1.0,15.468,0.27,12.0,1,0,0
275,9.1667,0.91204,0.60417,1,0,0.01608,1.0,15.502,0.269,12.0,1,0,0
276,9.2,0.91667,0.625,1,0,0.02621,1.0,15.252,0.312,12.0,1,0,0
277,9.2333,0.91667,0.625,1,0,0.02473,1.0,15.308,0.272,12.0,1,0,0
278,9.2667,0.91667,0.625,1,0,0.02352,1.0,15.38,0.278,12.0,1,0,0
279,9.3,0.91667,0.625,1,0,0.01904,1.0,15.427,0.28,12.0,1,0,0
280,9.3333,0.91667,0.625,1,0,0.01826,1.0,15.437,0.273,12.0,1,0,0
281,9.3667,0.91667,0.625,1,0,0.01819,1.0,15.462,0.268,12.0,1,0,0
