frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
143,4.7667,0.94907,0.77083,1,0,0.00732,3.0,15.064,0.265,12.0,1,0,0
144,4.8,0.94444,0.75,1,0,0.01036,3.0,14.886,0.36,12.0,1,0,0
145,4.8333,0.94444,0.75,1,0,0.01032,3.0,14.957,0.334,12.0,1,0,0
146,4.8667,0.93056,0.6875,1,0,0.00814,4.0,15.002,0.303,12.0,1,0,0
147,4.9,0.93056,0.6875,1,0,0.00822,3.0,15.013,0.295,12.0,1,0,0
148,4.9333,0.93981,0.72917,1,0,0.00876,4.0,15.008,0.29,12.0,1,0,0
149,4.9667,0.93519,0.70833,1,0,0.00837,5.0,15.028,0.29,12.0,1,0,0
150,5.0,0.93519,0.70833,1,0,0.00857,5.0,14.998,0.303,12.0,1,0,0
151,5.0333,0.94444,0.75,1,0,0.00814,5.0,15.028,0.287,12.0,1,0,0
152,5.0667,0.93519,0.70833,1,0,0.00876,5.0,15.111,0.293,12.0,1,0,0
153,5.1,0.93519,0.70833,1,0,0.00845,4.0,15.145,0.289,12.0,1,0,0
154,5.1333,0.93519,0.70833,1,0,0.009,4.0,15.105,0.283,12.0,1,0,0
155,5.1667,0.93519,0.70833,1,0,0.00907,4.0,15.136,0.275,12.0,1,0,0
156,5.2,0.93056,0.6875,1,0,0.00775,4.0,15.172,0.369,12.0,1,0,0
157,5.2333,0.93056,0.6875,1,0,0.00713,3.0,15.232,0.303,12.0,1,0,0
158,5.2667,0.93056,0.6875,1,0,0.00705,4.0,15.266,0.313,12.0,1,0,0
159,5.3,0.93056,0.6875,1,0,0.00658,4.0,15.321,0.3,12.0,1,0,0
160,5.3333,0.93519,0.70833,1,0,0.00728,4.0,15.256,0.283,12.0,1,0,0
161,5.3667,0.93519,0.70833,1,0,0.00717,4.0,15.228,0.284,12.0,1,0,0
162,5.4,0.93056,0.6875,1,0,0.00607,4.0,15.267,0.276,12.0,1,0,0
163,5.4333,0.93056,0.6875,1,0,0.00911,4.0,15.302,0.291,12.0,1,0,0
164,5.4667,0.92593,0.66667,1,0,0.00736,3.0,15.401,0.294,12.0,1,0,0
165,5.5,0.92593,0.66667,1,0,0.00732,3.0,15.416,0.285,12.0,1,0,0
166,5.5333,0.92593,0.66667,1,0,0.00775,2.0,15.431,0.287,12.0,1,0,0
167,5.5667,0.92593,0.66667,1,0,0.00736,3.0,15.522,0.282,12.0,1,0,0
168,5.6,0.9213,0.64583,1,0,0.00927,3.0,15.056,0.394,12.0,1,0,0
169,5.6333,0.93056,0.6875,1,0,0.00954,4.0,15.019,0.316,12.0,1,0,0
170,5.6667,0.92593,0.66667,1,0,0.00935,4.0,15.025,0.291,12.0,1,0,0
171,5.7,0.93056,0.6875,1,0,0.00907,4.0,15.078,0.288,12.0,1,0,0
172,5.7333,0.9213,0.64583,1,0,0.00794,2.0,15.265,0.268,12.0,1,0,0
173,5.7667,0.9213,0.64583,1,0,0.00822,2.0,15.275,0.285,12.0,1,0,0
174,5.8,0.9213,0.64583,1,0,0.00864,2.0,15.28,0.276,12.0,1,0,0
175,5.8333,0.9213,0.64583,1,0,0.00864,2.0,15.326,0.288,12.0,1,0,0
176,5.8667,0.9213,0.64583,1,0,0.00818,2.0,15.298,0.289,12.0,1,0,0
177,5.9,0.9213,0.64583,1,0,0.00853,2.0,15.317,0.288,12.0,1,0,0
178,5.9333,0.92593,0.66667,1,0,0.00868,2.0,15.394,0.278,12.0,1,0,0
179,5.9667,0.9213,0.64583,1,0,0.00876,2.0,15.495,0.27,12.0,1,0,0
180,6.0,0.90741,0.58333,1,0,0.01075,1.0,15.35,0.345,12.0,1,0,0
