frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
107,3.5667,0.90741,0.58333,1,0,0.00386,1.0,15.317,0.612,12.0,1,0,0
108,3.6,0.91204,0.60417,1,0,0.00643,1.0,15.159,0.627,12.0,1,0,0
109,3.6333,0.90741,0.58333,1,0,0.00467,1.0,15.198,0.606,12.0,1,0,0
110,3.6667,0.90741,0.58333,1,0,0.00284,1.0,15.18,0.593,12.0,1,0,0
111,3.7,0.90741,0.58333,1,0,0.00284,1.0,15.212,0.591,12.0,1,0,0
112,3.7333,0.90741,0.58333,1,0,0.00288,1.0,15.199,0.584,12.0,1,0,0
113,3.7667,0.90741,0.58333,1,0,0.00405,1.0,15.282,0.595,12.0,1,0,0
114,3.8,0.90741,0.58333,1,0,0.00518,1.0,15.185,0.61,12.0,1,0,0
115,3.8333,0.90741,0.58333,1,0,0.0051,1.0,15.215,0.624,12.0,1,0,0
116,3.8667,0.90741,0.58333,1,0,0.00545,1.0,15.119,0.631,12.0,1,0,0
117,3.9,0.90741,0.58333,1,0,0.00421,1.0,15.13,0.621,12.0,1,0,0
118,3.9333,0.90741,0.58333,1,0,0.00452,1.0,15.147,0.618,12.0,1,0,0
119,3.9667,0.90741,0.58333,1,0,0.00323,1.0,15.168,0.612,12.0,1,0,0
120,4.0,0.90741,0.58333,1,0,0.00366,1.0,15.234,0.575,12.0,1,0,0
121,4.0333,0.90741,0.58333,1,0,0.00428,1.0,15.274,0.574,12.0,1,0,0
122,4.0667,0.90741,0.58333,1,0,0.00506,1.0,15.296,0.572,12.0,1,0,0
123,4.1,0.90741,0.58333,1,0,0.00685,1.0,15.29,0.597,12.0,1,0,0
124,4.1333,0.90741,0.58333,1,0,0.00611,1.0,15.238,0.594,12.0,1,0,0
125,4.1667,0.90741,0.58333,1,0,0.00483,1.0,15.255,0.622,12.0,1,0,0
126,4.2,0.90741,0.58333,1,0,0.00405,1.0,15.241,0.613,12.0,1,0,0
127,4.2333,0.90741,0.58333,1,0,0.00335,1.0,15.223,0.6,12.0,1,0,0
128,4.2667,0.90741,0.58333,1,0,0.00335,1.0,15.192,0.596,12.0,1,0,0
129,4.3,0.90741,0.58333,1,0,0.00417,1.0,15.269,0.591,12.0,1,0,0
130,4.3333,0.90741,0.58333,1,0,0.00681,1.0,15.242,0.603,12.0,1,0,0
131,4.3667,0.90741,0.58333,1,0,0.0079,1.0,15.269,0.609,12.0,1,0,0
132,4.4,0.91204,0.60417,1,0,0.00537,1.0,15.222,0.63,12.0,1,0,0
133,4.4333,0.91204,0.60417,1,0,0.00537,1.0,15.3,0.623,12.0,1,0,0
134,4.4667,0.90741,0.58333,1,0,0.00495,1.0,15.244,0.607,12.0,1,0,0
135,4.5,0.90741,0.58333,1,0,0.00502,1.0,15.267,0.598,12.0,1,0,0
136,4.5333,0.90741,0.58333,1,0,0.00713,1.0,15.164,0.585,12.0,1,0,0
137,4.5667,0.0,0.0,0,0,0.01009,0.0,0.0,0.579,12.0,1,0,0
138,4.6,0.0,0.0,0,0,0.01016,0.0,0.0,0.547,12.0,1,0,0
139,4.6333,0.91204,0.60417,1,0,0.00654,2.0,14.75,0.561,12.0,1,0,0
140,4.6667,0.91204,0.60417,1,0,0.00607,1.0,14.732,0.563,12.0,1,0,0
141,4.7,0.91204,0.60417,1,0,0.00565,1.0,14.82,0.564,12.0,1,0,0
142,4.7333,0.91204,0.60417,1,0,0.00705,2.0,14.694,0.559,12.0,1,0,0
143,4.7667,0.91204,0.60417,1,0,0.00864,1.0,14.679,0.569,12.0,1,0,0
144,4.8,0.0,0.0,0,0,0.00806,0.0,0.0,0.564,12.0,1,0,0
145,4.8333,0.90741,0.58333,1,0,0.00689,3.0,14.472,0.528,12.0,1,0,0
146,4.8667,0.90741,0.58333,1,0,0.00639,2.0,14.668,0.546,12.0,1,0,0
147,4.9,0.91204,0.60417,1,0,0.00658,2.0,14.768,0.547,12.0,1,0,0
148,4.9333,0.90741,0.58333,1,0,0.00752,1.0,14.93,0.572,12.0,1,0,0
149,4.9667,0.91204,0.60417,1,0,0.00829,2.0,14.778,0.557,12.0,1,0,0
150,5.0,0.00926,0.04167,1,0,0.00977,1.0,12.167,0.565,12.0,1,0,0
151,5.0333,0.0,0.0,0,0,0.00923,0.0,0.0,0.561,12.0,1,0,0
152,5.0667,0.0,0.0,0,0,0.00845,0.0,0.0,0.526,12.0,1,0,0
153,5.1,0.0,0.0,0,0,0.00697,0.0,0.0,0.524,12.0,1,0,0
154,5.1333,0.91204,0.60417,1,0,0.00541,2.0,14.842,0.512,12.0,1,0,0
155,5.1667,0.91204,0.60417,1,0,0.00533,2.0,15.017,0.529,12.0,1,0,0
156,5.2,0.00926,0.04167,1,0,0.01063,1.0,10.292,0.594,12.0,1,0,0
157,5.2333,0.0,0.0,0,0,0.01071,0.0,0.0,0.588,12.0,1,0,0
158,5.2667,0.0,0.0,0,0,0.01098,0.0,0.0,0.562,12.0,1,0,0
159,5.3,0.0,0.0,0,0,0.00752,0.0,0.0,0.547,12.0,1,0,0
160,5.3333,0.90741,0.58333,1,0,0.00386,3.0,13.801,0.505,12.0,1,0,0
161,5.3667,0.90741,0.58333,1,0,0.00362,3.0,13.842,0.5,12.0,1,0,0
162,5.4,0.90741,0.58333,1,0,0.00432,2.0,14.1,0.512,12.0,1,0,0
163,5.4333,0.90741,0.58333,1,0,0.0065,4.0,14.735,0.512,12.0,1,0,0
164,5.4667,0.90741,0.58333,1,0,0.01071,3.0,14.789,0.539,12.0,1,0,0
165,5.5,0.90741,0.58333,1,0,0.01086,3.0,14.775,0.547,12.0,1,0,0
166,5.5333,0.0,0.0,0,0,0.0104,0.0,0.0,0.543,12.0,1,0,0
167,5.5667,0.90741,0.58333,1,0,0.00611,2.0,14.194,0.517,12.0,1,0,0
168,5.6,0.02315,0.10417,1,0,0.00724,1.0,12.273,0.531,12.0,1,0,0
169,5.6333,0.01852,0.08333,1,0,0.00619,1.0,12.227,0.501,12.0,1,0,0
170,5.6667,0.90741,0.58333,1,0,0.00892,2.0,14.814,0.499,12.0,1,0,0
171,5.7,0.0,0.0,0,0,0.01168,0.0,0.0,0.505,12.0,1,0,0
172,5.7333,0.0,0.0,0,0,0.0132,0.0,0.0,0.494,12.0,1,0,0
173,5.7667,0.90741,0.58333,1,0,0.00927,3.0,14.823,0.491,12.0,1,0,0
174,5.8,0.90741,0.58333,1,0,0.00907,3.0,14.886,0.493,12.0,1,0,0
175,5.8333,0.90741,0.58333,1,0,0.00709,3.0,14.581,0.481,12.0,1,0,0
176,5.8667,0.90741,0.58333,1,0,0.0067,3.0,14.643,0.484,12.0,1,0,0
177,5.9,0.90741,0.58333,1,0,0.00833,3.0,14.567,0.488,12.0,1,0,0
178,5.9333,0.90741,0.58333,1,0,0.01071,1.0,15.22,0.487,12.0,1,0,0
179,5.9667,0.90741,0.58333,1,0,0.01371,1.0,15.077,0.498,12.0,1,0,0
180,6.0,0.90741,0.58333,1,0,0.01456,1.0,14.897,0.553,12.0,1,0,0
181,6.0333,0.90741,0.58333,1,0,0.01094,1.0,15.052,0.518,12.0,1,0,0
