frame,t,activity,outlet,liquid,disturbed,outside_ratio,blobs,contrast,noise_sigma,threshold,flowing,became_flowing,finished
117,3.9,0.0,0.0,0,0,0.00717,0.0,0.0,0.417,12.0,0,0,0
118,3.9333,0.89352,0.52083,1,0,0.00354,2.0,14.337,0.406,12.0,0,0,0
119,3.9667,0.89352,0.52083,1,0,0.00288,2.0,13.593,0.396,12.0,0,0,0
120,4.0,0.89352,0.52083,1,0,0.0028,2.0,13.693,0.411,12.0,0,0,0
121,4.0333,0.88889,0.5,1,0,0.00382,1.0,14.124,0.392,12.0,0,0,0
122,4.0667,0.88889,0.5,1,0,0.00561,3.0,14.01,0.398,12.0,0,0,0
123,4.1,0.0,0.0,0,0,0.00876,0.0,0.0,0.413,12.0,0,0,0
124,4.1333,0.89352,0.52083,1,0,0.00736,3.0,14.326,0.404,12.0,0,0,0
125,4.1667,0.89815,0.54167,1,0,0.00522,3.0,14.465,0.418,12.0,0,0,0
126,4.2,0.88889,0.5,1,0,0.00382,3.0,13.95,0.402,12.0,0,0,0
127,4.2333,0.88889,0.5,1,0,0.00424,3.0,13.105,0.405,12.0,0,0,0
128,4.2667,0.88889,0.5,1,0,0.00604,1.0,13.192,0.397,12.0,0,0,0
129,4.3,0.88889,0.5,1,0,0.00837,1.0,13.079,0.393,12.0,0,0,0
130,4.3333,0.88889,0.5,1,0,0.00946,1.0,13.417,0.393,12.0,0,0,0
131,4.3667,0.88889,0.5,1,0,0.00954,1.0,14.243,0.403,12.0,0,0,0
132,4.4,0.88889,0.5,1,0,0.0079,1.0,14.287,0.479,12.0,0,0,0
133,4.4333,0.89352,0.52083,1,0,0.006,1.0,14.326,0.459,12.0,0,0,0
134,4.4667,0.02315,0.10417,1,0,0.00518,1.0,12.275,0.45,12.0,0,0,0
135,4.5,0.0,0.0,0,0,0.00845,0.0,0.0,0.432,12.0,0,0,0
136,4.5333,0.0,0.0,0,0,0.00892,0.0,0.0,0.415,12.0,0,0,0
137,4.5667,0.0,0.0,0,0,0.01172,0.0,0.0,0.401,12.0,0,0,0
138,4.6,0.0,0.0,0,0,0.00841,0.0,0.0,0.384,12.0,0,0,0
139,4.6333,0.88889,0.5,1,0,0.00526,2.0,13.826,0.383,12.0,0,0,0
140,4.6667,0.89352,0.52083,1,0,0.00378,4.0,13.935,0.391,12.0,0,0,0
141,4.7,0.89352,0.52083,1,0,0.00401,3.0,14.04,0.39,12.0,0,0,0
142,4.7333,0.89352,0.52083,1,0,0.00549,3.0,13.621,0.39,12.0,0,0,0
143,4.7667,0.0,0.0,0,0,0.0079,0.0,0.0,0.391,12.0,0,0,0
144,4.8,0.0,0.0,0,0,0.0088,0.0,0.0,0.432,12.0,0,0,0
145,4.8333,0.0,0.0,0,0,0.00822,0.0,0.0,0.389,12.0,0,0,0
146,4.8667,0.0,0.0,0,0,0.00495,0.0,0.0,0.381,12.0,0,0,0
147,4.9,0.87963,0.45833,1,0,0.00276,1.0,12.777,0.37,12.0,0,0,0
148,4.9333,0.87963,0.45833,1,0,0.00319,2.0,13.633,0.386,12.0,0,0,0
149,4.9667,0.02315,0.10417,1,0,0.00292,2.0,12.007,0.379,12.0,0,0,0
150,5.0,0.01852,0.08333,1,0,0.00483,1.0,12.111,0.379,12.0,0,0,0
151,5.0333,0.0,0.0,0,0,0.00693,0.0,0.0,0.378,12.0,0,0,0
152,5.0667,0.87963,0.45833,1,0,0.00366,3.0,12.633,0.374,12.0,0,0,0
153,5.1,0.875,0.45833,1,0,0.00421,4.0,12.437,0.375,12.0,0,0,0
154,5.1333,0.875,0.45833,1,0,0.00315,3.0,12.521,0.364,12.0,0,0,0
155,5.1667,0.87963,0.45833,1,0,0.0035,2.0,12.386,0.376,12.0,0,0,0
156,5.2,0.80556,0.4375,1,0,0.00206,7.0,12.167,0.415,12.0,0,0,0
157,5.2333,0.8287,0.47917,1,0,0.00639,4.0,12.267,0.401,12.0,0,0,0
158,5.2667,0.61111,0.10417,1,0,0.00689,4.0,12.572,0.4,12.0,0,0,0
159,5.3,0.02778,0.125,1,0,0.00709,1.0,12.719,0.406,12.0,0,0,0
160,5.3333,0.87963,0.45833,1,0,0.00627,3.0,12.437,0.392,12.0,0,0,0
161,5.3667,0.88426,0.47917,1,0,0.00312,3.0,12.396,0.385,12.0,0,0,0
162,5.4,0.87037,0.41667,1,0,0.00234,3.0,12.689,0.38,12.0,0,0,0
163,5.4333,0.02315,0.10417,1,0,0.00331,1.0,11.591,0.376,12.0,0,0,0
164,5.4667,0.09259,0.0,1,0,0.00491,1.0,12.715,0.385,12.0,0,0,0
165,5.5,0.09259,0.0,1,0,0.00888,1.0,12.75,0.383,12.0,0,0,0
166,5.5333,0.0,0.0,0,0,0.00907,0.0,0.0,0.386,12.0,0,0,0
167,5.5667,0.02315,0.10417,1,0,0.00557,1.0,12.32,0.381,12.0,0,0,0
168,5.6,0.01852,0.08333,1,0,0.00604,1.0,12.206,0.42,12.0,0,0,0
169,5.6333,0.88426,0.47917,1,0,0.00561,2.0,13.035,0.385,12.0,0,0,0
170,5.6667,0.88426,0.47917,1,0,0.00724,3.0,12.383,0.377,12.0,0,0,0
171,5.7,0.78704,0.04167,1,0,0.0079,1.0,12.773,0.377,12.0,0,0,0
172,5.7333,0.78241,0.04167,1,0,0.00658,3.0,12.687,0.371,12.0,0,0,0
173,5.7667,0.79167,0.0625,1,0,0.00744,2.0,12.761,0.372,12.0,0,0,0
174,5.8,0.87963,0.45833,1,0,0.00728,4.0,12.295,0.37,12.0,0,0,0
175,5.8333,0.88426,0.47917,1,0,0.00545,4.0,12.982,0.368,12.0,0,0,0
176,5.8667,0.88889,0.5,1,0,0.00611,4.0,13.571,0.377,12.0,0,0,0
177,5.9,0.88426,0.47917,1,0,0.00915,3.0,13.66,0.386,12.0,0,0,0
178,5.9333,0.87963,0.45833,1,0,0.01048,4.0,12.935,0.379,12.0,0,0,0
179,5.9667,0.03704,0.16667,1,0,0.01145,2.0,13.731,0.382,12.0,0,0,0
180,6.0,0.76389,0.39583,1,0,0.00697,4.0,12.447,0.423,12.0,0,0,0
181,6.0333,0.76852,0.39583,1,0,0.00553,4.0,12.386,0.381,12.0,0,0,0
182,6.0667,0.86111,0.45833,1,0,0.00424,3.0,13.038,0.386,12.0,0,0,0
183,6.1,0.87963,0.45833,1,0,0.0053,3.0,13.219,0.385,12.0,0,0,0
184,6.1333,0.01852,0.08333,1,0,0.00627,1.0,11.998,0.404,12.0,0,0,0
185,6.1667,0.02778,0.125,1,0,0.00888,1.0,12.366,0.412,12.0,0,0,0
186,6.2,0.03241,0.14583,1,0,0.01071,1.0,12.539,0.403,12.0,0,0,0
187,6.2333,0.02778,0.125,1,0,0.00806,1.0,12.311,0.395,12.0,0,0,0
188,6.2667,0.02315,0.10417,1,0,0.00569,2.0,11.93,0.389,12.0,0,0,0
189,6.3,0.02315,0.10417,1,0,0.00674,2.0,11.934,0.385,12.0,0,0,0
190,6.3333,0.88426,0.47917,1,0,0.00483,3.0,13.009,0.382,12.0,0,0,0
191,6.3667,0.03241,0.14583,1,0,0.00787,2.0,11.998,0.385,12.0,0,0,0
192,6.4,0.04167,0.1875,1,0,0.01063,2.0,12.585,0.464,12.0,0,0,0
193,6.4333,0.04167,0.1875,1,0,0.01285,1.0,13.081,0.431,12.0,0,0,0
194,6.4667,0.02778,0.125,1,0,0.01071,1.0,12.577,0.431,12.0,0,0,0
195,6.5,0.02315,0.10417,1,0,0.00892,1.0,12.675,0.401,12.0,0,0,0
196,6.5333,0.87963,0.45833,1,0,0.00572,3.0,13.899,0.396,12.0,0,0,0
197,6.5667,0.87963,0.45833,1,0,0.00545,3.0,13.871,0.398,12.0,0,0,0
198,6.6,0.01852,0.08333,1,0,0.0079,1.0,12.762,0.401,12.0,0,0,0
199,6.6333,0.02778,0.125,1,0,0.01032,1.0,12.566,0.416,12.0,0,0,0
200,6.6667,0.02778,0.125,1,0,0.01305,1.0,12.981,0.429,12.0,0,0,0
201,6.7,0.02778,0.125,1,0,0.01164,1.0,12.457,0.442,12.0,0,0,0
202,6.7333,0.02778,0.125,1,0,0.0088,1.0,12.495,0.441,12.0,0,0,0
203,6.7667,0.02315,0.10417,1,0,0.0058,1.0,12.478,0.419,12.0,0,0,0
204,6.8,0.88889,0.5,1,0,0.00689,3.0,14.139,0.425,12.0,0,0,0
205,6.8333,0.88426,0.47917,1,0,0.00802,3.0,14.067,0.418,12.0,0,0,0
206,6.8667,0.02315,0.10417,1,0,0.00892,1.0,12.503,0.412,12.0,0,0,0
207,6.9,0.02778,0.125,1,0,0.00981,1.0,12.603,0.412,12.0,0,0,0
208,6.9333,0.02778,0.125,1,0,0.01121,1.0,12.452,0.439,12.0,0,0,0
209,6.9667,0.02315,0.10417,1,0,0.01059,1.0,11.699,0.446,12.0,0,0,0
210,7.0,0.0,0.0,0,0,0.0072,0.0,0.0,0.44,12.0,0,0,0
211,7.0333,0.88426,0.47917,1,0,0.00584,2.0,14.516,0.425,12.0,0,0,0
212,7.0667,0.01852,0.08333,1,0,0.00705,2.0,11.719,0.43,12.0,0,0,0
213,7.1,0.02315,0.10417,1,0,0.00962,1.0,12.575,0.44,12.0,0,0,0
214,7.1333,0.02315,0.10417,1,0,0.00892,1.0,12.571,0.444,12.0,0,0,0
